evento,jogo,porcentagem
Finalização,Grêmio Prudente,2,8.3
Finalização,Rio Claro,5,20.8
Gol,Grêmio Prudente,2,8.3
Gol,Rio Claro,3,12.5
Interceptação,Grêmio Prudente,4,16.7
Interceptação,Rio Claro,8,33.3
