time,posicao,evento,x,y,x2,y2
Casa,ZGD,Duelo Defensivo,85,29,85,29
Visitante,ZGD,Gol,84,28,101,53
Casa,VOLC,Passe,73,41,58,10
Casa,VOLC,Passe,57,42,48,75
Casa,VOLE,Passe,39,66,26,76
Casa,ZGD,Gol,9,41,4,49
Casa,MO,Assistência,26,66,6,38
Visitante,VOLC,Gol,44,78,44,78
Visitante,ZGD,Interceptação,22,98,22,99
Visitante,VOLC,Duelo Defensivo,59,98,59,99
Visitante,LD,Recuperação,17,80,17,78
Visitante,VOLC,Duelo Defensivo,20,37,20,38
Visitante,VOLC,Duelo Defensivo,20,53,20,53
Visitante,LD,Recuperação,7,82,7,82
Visitante,PD,Entrada no Terço Final,35,89,47,91
Visitante,CENT,Passe,81,86,82,67
Visitante,VOLC,Recuperação,59,28,60,28
Visitante,ZGE,Chute,97,62,97,61
Visitante,VOLC,Duelo Defensivo,57,18,58,17
Visitante,VOLC,Recuperação,46,52,46,52
Visitante,VOLC,Passe,46,54,71,40
Visitante,ZGD,Interceptação,37,53,37,53
Visitante,LD,Interceptação,20,66,20,66
Visitante,VOLC,Recuperação,24,62,24,62
Visitante,VOLC,Passe,24,61,20,94
Visitante,VOLC,Passe,28,49,31,16
Visitante,VOLC,Passe,19,40,46,15
Visitante,LE,Interceptação,13,33,13,32
Visitante,GOL,Passe,4,57,6,60
Visitante,VOLC,Passe,39,14,44,8
Visitante,LE,Duelo Defensivo,7,30,7,28
Visitante,MO,Passe,50,60,86,9
Visitante,PE,Entrada no Terço Final,86,6,86,41
Visitante,MO,Chute,87,60,101,50
Visitante,PE,Passe,86,44,87,61
Visitante,LE,Interceptação,64,6,64,8
Visitante,LE,Interceptação,23,81,23,81
Visitante,VOLE,Recuperação,22,98,22,98
Visitante,ZGD,Interceptação,39,97,39,96
Visitante,LD,Duelo Defensivo,44,8,44,6
Visitante,LD,Duelo Defensivo,43,10,43,9
Visitante,VOLC,Passe,27,42,23,83
Visitante,VOLC,Interceptação,20,88,20,88
Visitante,VOLC,Duelo Defensivo,46,93,46,92
Visitante,GOL,Passe,3,67,15,67
Visitante,MO,Passe,63,79,47,72
Visitante,VOLC,Passe,66,18,62,36
Visitante,MO,Passe,61,59,61,59
Visitante,MO,Passe,66,75,101,52
Visitante,GOL,Passe,29,56,35,65
Visitante,VOLC,Passe,55,43,60,9
Visitante,VOLC,Passe,45,12,60,7
Visitante,GOL,Passe,5,52,7,52
Visitante,VOLC,Passe,22,53,39,87
Visitante,GOL,Passe,4,51,7,52
Visitante,VOLC,Passe,22,54,44,83
Visitante,LD,Passe,61,94,97,45
Visitante,ZGE,Interceptação,17,80,17,79
Visitante,MO,Passe,70,93,68,100
Visitante,VOLC,Passe,63,84,64,91
Visitante,VOLC,Passe,40,85,37,99
Visitante,VOLC,Passe,36,92,39,44
Visitante,LD,Interceptação,44,32,44,32
Visitante,GOL,Passe,11,36,24,79
Visitante,GOL,Passe,15,49,33,6
Visitante,VOLE,Passe,58,31,56,60
Visitante,MO,Passe,48,71,42,84
Visitante,MO,Passe,64,67,91,73
Visitante,LD,Interceptação,23,82,24,82
Visitante,VOLE,Recuperação,39,69,39,67
Visitante,ZGD,Interceptação,25,89,25,90
Visitante,VOLC,Passe,32,83,17,94
Visitante,VOLC,Passe,29,66,98,33
Visitante,GOL,Passe,9,56,23,42
Visitante,LE,Chute,88,27,100,64
Visitante,VOLE,Passe,55,43,55,43
Visitante,PD,Entrada no Terço Final,76,83,84,79
Visitante,PD,Chute,83,79,100,59
Visitante,ZGD,Chute,96,58,96,58
Visitante,VOLE,Interceptação,54,41,54,41
Visitante,ZGD,Interceptação,44,94,43,95
Visitante,VOLC,Interceptação,28,93,28,93
Visitante,GOL,Passe,8,63,11,40
Visitante,VOLC,Passe,29,25,24,54
Visitante,VOLE,Passe,59,24,35,93
Visitante,ZGD,Interceptação,21,84,21,85
Visitante,GOL,Passe,5,65,4,38
Visitante,GOL,Gol,11,59,2,58
Visitante,ZGD,Interceptação,32,73,33,73
Visitante,VOLC,Duelo Defensivo,41,24,41,24
Visitante,PD,Entrada no Terço Final,55,64,55,47
Visitante,VOLE,Passe,63,43,82,8
Visitante,MO,Chute,80,46,86,46
Visitante,VOLC,Chute,61,60,100,45
Visitante,LE,Passe,43,8,92,42
Casa,VOLC,Passe,38,48,40,92
Casa,GOL,Passe,11,55,22,38
Casa,VOLC,Passe,32,47,44,7
Casa,VOLC,Passe,40,38,35,93
Casa,VOLC,Passe,46,48,49,4
Casa,VOLC,Passe,50,39,55,83
Casa,VOLC,Passe,53,58,67,72
Casa,MO,Passe,73,82,90,86
Casa,MO,Passe,82,77,100,37
Casa,CENT,Chute,100,44,100,44
Casa,ZGE,Duelo Defensivo,59,23,59,23
Casa,ZGE,Interceptação,13,21,13,21
Casa,MO,Passe,69,29,75,8
Casa,VOLE,Duelo Defensivo,60,30,60,30
Casa,VOLE,Recuperação,60,26,60,26
Casa,VOLE,Passe,58,26,67,7
Casa,VOLE,Passe,64,28,79,25
Casa,VOLC,Recuperação,49,42,49,42
Casa,ZGE,Duelo Defensivo,56,45,56,45
Casa,VOLC,Duelo Defensivo,49,43,49,43
Casa,VOLC,Recuperação,45,34,45,34
Casa,VOLC,Passe,44,28,58,5
Casa,VOLC,Passe,49,42,59,84
Casa,VOLC,Passe,36,50,44,95
Casa,VOLC,Passe,45,68,70,65
Casa,CENT,Passe,65,45,63,30
Casa,VOLE,Passe,66,34,65,56
Casa,MO,Passe,64,60,56,83
Casa,MO,Passe,54,69,58,24
Casa,VOLC,Passe,55,34,47,74
Casa,PD,Entrada no Terço Final,95,86,101,68
