time,posicao,evento,tempo,x,y,x2,y2
Ituano,GOL,Rec,rioclaro_ituano\rioclaro_ituano_15_16_1.csv,82,39,82,39
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_15_16_1.csv,45,56,25,21
Ituano,GOL,Rec,rioclaro_ituano\rioclaro_ituano_15_16_1.csv,28,19,28,19
Ituano,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_16_17_1.csv,88,36,88,36
Ituano,GOL,Falta,rioclaro_ituano\rioclaro_ituano_18_19_1.csv,2,14,2,14
Ituano,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_19_20_1.csv,85,31,85,31
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_19_20_1.csv,66,10,51,15
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_20_21_1.csv,53,72,38,68
Ituano,GOL,Rec,rioclaro_ituano\rioclaro_ituano_20_21_1.csv,67,62,67,62
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_20_21_1.csv,89,70,54,40
Ituano,GOL,RecCA,rioclaro_ituano\rioclaro_ituano_21_22_1.csv,85,14,12,50
Ituano,GOL,2ª Bola,rioclaro_ituano\rioclaro_ituano_21_22_1.csv,54,45,54,45
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_22_23_1.csv,48,49,11,53
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_22_23_1.csv,8,42,8,42
Ituano,GOL,Falta,rioclaro_ituano\rioclaro_ituano_22_23_1.csv,16,37,16,37
Ituano,GOL,Falta,rioclaro_ituano\rioclaro_ituano_23_24_1.csv,47,2,47,2
Ituano,GOL,Falta,rioclaro_ituano\rioclaro_ituano_27_28_1.csv,80,76,80,76
Ituano,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_29_30_1.csv,29,14,29,14
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_30_31_1.csv,69,11,9,21
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_31_32_1.csv,49,8,30,13
Ituano,GOL,Finalização,rioclaro_ituano\rioclaro_ituano_32_33_1.csv,34,40,34,40
Ituano,GOL,Rec,rioclaro_ituano\rioclaro_ituano_33_34_1.csv,80,75,80,75
Ituano,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_37_38_1.csv,17,6,17,6
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_37_38_1.csv,36,11,30,19
Ituano,GOL,RecNCA,rioclaro_ituano\rioclaro_ituano_38_39_1.csv,88,79,52,79
Ituano,GOL,Rec,rioclaro_ituano\rioclaro_ituano_3_4_1.csv,34,80,34,80
Ituano,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_4_5_1.csv,79,59,79,59
Ituano,GOL,2ª Bola,rioclaro_ituano\rioclaro_ituano_4_5_1.csv,56,55,56,55
Ituano,GOL,Falta,rioclaro_ituano\rioclaro_ituano_5_6_1.csv,67,5,67,5
Ituano,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_6_7_1.csv,65,22,65,22
Ituano,GOL,2ª Bola,rioclaro_ituano\rioclaro_ituano_6_7_1.csv,73,23,73,23
Ituano,GOL,1ª Bola,rioclaro_ituano\rioclaro_ituano_7_8_1.csv,93,16,93,16
